time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/clip_range,train/approx_kl
1,6144,1622.0,11,545,-436.9500153333333,,,,,,,,,,
2,12288,1622.0,35,348,-481.6666837333334,2.455230474472046,0.01157168073405046,-8.29135117928187,0.3623453776041667,0.00025,-0.007664084434509277,4,19.392125969131786,0.2,0.02932106
3,18432,1622.0,57,320,-488.56906492857144,3.8441100120544434,0.02178337175670701,-8.218305438756943,0.4106852213541667,0.00025,0.10314744710922241,8,28.926432132720947,0.2,0.06301975
4,24576,1622.0,81,302,-510.4666848666667,9.062588691711426,0.011187859636265785,-8.17121251920859,0.3715413411458333,0.00025,0.3296588659286499,12,27.872871945301693,0.2,0.037295103
5,30720,1622.0,105,291,-519.4500185833333,17.88702392578125,0.008285942780882275,-8.169155458609263,0.3240966796875,0.00025,0.40028083324432373,16,40.70193900664648,0.2,0.039289173
6,36864,1622.0,126,290,-519.5055741000001,10.431488037109375,0.020987983722685993,-8.096889724334082,0.4743245442708333,0.00025,0.5814399719238281,20,31.89635236064593,0.2,0.20327552
7,43008,1622.0,151,284,-512.8350182700001,10.379365921020508,0.008266361774682688,-8.136326332887014,0.3868001302083333,0.00025,0.7758523225784302,24,32.38964603344599,0.2,0.03383496
8,49152,1622.0,175,280,-507.3400180800001,6.392281532287598,0.01750339676315586,-8.076354448994001,0.3655192057291667,0.00025,0.9189208745956421,28,19.15918109814326,0.2,0.17722706
9,55296,1622.0,197,279,-486.20501722,6.6463799476623535,0.025011265073165607,-8.103450407584509,0.4746500651041667,0.00025,0.9317312836647034,32,19.413829684257507,0.2,0.06951956
10,61440,1622.0,223,274,-456.55001604000006,4.081737041473389,0.010279414539885087,-8.086547200878462,0.3004150390625,0.00025,0.8432461023330688,36,17.954285060365994,0.2,0.016240017
11,67584,1622.0,249,271,-431.22501500000004,1.8805471658706665,0.011213409125048202,-8.031111891071001,0.3216552734375,0.00025,0.9179304242134094,40,9.687038940687975,0.2,0.04903582
12,73728,1622.0,270,272,-390.44001333000006,3.7622194290161133,0.006153073195794907,-8.048009008169174,0.2610677083333333,0.00025,0.9363496899604797,44,11.236759458978971,0.2,0.013203315
13,79872,1622.0,296,269,-369.76501248000005,5.136343955993652,0.035144001793620795,-7.996033514539401,0.4176432291666667,0.00025,0.9610304236412048,48,9.146253374715647,0.2,0.011559158
14,86016,1622.0,322,267,-347.83001158,2.8041651248931885,0.007645710027039361,-8.121509810288748,0.2520751953125,0.00025,0.9660964012145996,52,5.934394593040149,0.2,0.014804114
15,92160,1622.0,348,264,-337.17001108000005,2.5251824855804443,0.006115085932833608,-8.060529227058092,0.2664794921875,0.00025,0.9840608239173889,56,5.1854854101936025,0.2,0.018729823
16,98304,1622.0,369,265,-328.36501068000007,2.0274767875671387,0.005519972245868606,-7.986666843295097,0.21988932291666666,0.00025,0.9779543876647949,60,6.2208413357536,0.2,0.012378176
17,104448,1622.0,396,263,-323.37501045000005,1.600261926651001,0.04717631385816882,-7.875243837634723,0.4801025390625,0.00025,0.9897713661193848,64,4.728242451945941,0.2,0.06239271
18,110592,1622.0,423,261,-322.5050104,3.327446222305298,0.009488755669735838,-7.99741593003273,0.2802734375,0.00025,0.9833210110664368,68,6.850406135121982,0.2,0.016046945
19,116736,1622.0,447,260,-322.12501039,3.092853307723999,0.003769399772863835,-7.9660623123248415,0.24930826822916666,0.00025,0.990549623966217,72,5.394585385918617,0.2,0.015792044
20,122880,1622.0,474,258,-319.94501031,1.8498690128326416,0.013784751276640842,-7.952742978930473,0.3052978515625,0.00025,0.9875625967979431,76,5.815921947360039,0.2,0.02888734
21,129024,1622.0,501,257,-312.73500999000004,1.4911507368087769,0.007366116638877429,-7.925564274191856,0.24637858072916666,0.00025,0.9913275241851807,80,4.913356103003025,0.2,0.016674066
22,135168,1622.0,527,256,-310.18500981,1.4708062410354614,0.035523927760853745,-7.799086074034373,0.45947265625,0.00025,0.9869629740715027,84,4.25266732275486,0.2,0.044667304
23,141312,1622.0,549,257,-304.21000953000004,3.8173744678497314,0.01964111371974771,-7.582625066240628,0.3438720703125,0.00025,0.9879580736160278,88,8.330380196372667,0.2,0.012177098
24,147456,1622.0,576,255,-297.33000924,4.959747314453125,0.011735997465924205,-7.635989894469579,0.2827555338541667,0.00025,0.9915948510169983,92,7.657705674568812,0.2,0.01666904
25,153600,1622.0,601,255,-299.38500909000004,4.076472759246826,0.008876096057065297,-7.579376523693402,0.282958984375,0.00025,0.9916677474975586,96,6.806742409865062,0.2,0.023146598
26,159744,1622.0,627,254,-302.85000899000005,2.3393805027008057,0.04224856267683208,-7.45444289346536,0.4987386067708333,0.00025,0.9935939311981201,100,4.051240722338359,0.2,0.03290015
27,165888,1622.0,650,255,-306.10500912000003,0.8759914040565491,0.03399009596129569,-7.435696547230084,0.4825439453125,0.00025,0.993622362613678,104,2.6861645467579365,0.2,0.036402747
28,172032,1622.0,676,254,-308.16000920000005,1.1035021543502808,0.02894628542708233,-7.462494144837062,0.4508870442708333,0.00025,0.9952065944671631,108,3.490807349483172,0.2,0.027154664
29,178176,1622.0,702,253,-313.33500951,3.6509628295898438,0.010437290727471312,-7.596214602390925,0.3053792317708333,0.00025,0.9955471754074097,112,6.01670469964544,0.2,0.016870229
30,184320,1622.0,725,254,-315.05500960000006,2.754491090774536,0.006511912819405552,-7.698687439163526,0.22871907552083334,0.00025,0.9969126582145691,116,5.58834845200181,0.2,0.0151652405
31,190464,1622.0,751,253,-323.1900099,3.331350088119507,0.0063549706295210244,-7.703597615162532,0.2646484375,0.00025,0.9961896538734436,120,5.523133700092633,0.2,0.02020485
32,196608,1622.0,776,253,-327.49001008000005,2.990743398666382,0.0030609019231633283,-7.722406769792239,0.19466145833333334,0.00025,0.9972372651100159,124,5.222247837732236,0.2,0.015472929
33,202752,1622.0,803,252,-329.81001044000004,2.879098415374756,0.007820672275556717,-7.69389629860719,0.27392578125,0.00025,0.9973780512809753,128,4.705094445496798,0.2,0.018039808
34,208896,1622.0,825,252,-333.3000106,2.8050296306610107,0.006506032642694966,-7.603898098071416,0.267333984375,0.00025,0.9981894493103027,132,4.516565781086683,0.2,0.016720517
35,215040,1622.0,852,252,-339.03001084000005,2.3740739822387695,0.008142382828130698,-7.5558687547842665,0.2534586588541667,0.00025,0.9978509545326233,136,4.320713302741448,0.2,0.013567355
36,221184,1622.0,878,251,-341.94001099,2.586543560028076,0.006919574239873327,-7.606282403071721,0.24678548177083334,0.00025,0.9984863996505737,140,4.165119784573714,0.2,0.017282927
37,227328,1622.0,901,252,-335.860011,2.5042808055877686,0.010611565832126265,-7.513714576760928,0.275634765625,0.00025,0.9978227615356445,144,4.115035351365805,0.2,0.022296196
38,233472,1622.0,926,251,-337.06501108000003,2.1818020343780518,0.007181704437243752,-7.441102534532547,0.2408447265625,0.00025,0.9984923601150513,148,3.885735264668862,0.2,0.017255576
39,239616,1622.0,954,251,-335.77001102,2.2951531410217285,0.011317136659878694,-7.554164603352547,0.30810546875,0.00025,0.9976766705513,152,3.9934241957962513,0.2,0.01879377
40,245760,1622.0,981,250,-336.87001108000004,2.3106725215911865,0.0088363834656775,-7.572836950421333,0.2713623046875,0.00025,0.9985167980194092,156,3.7448054626584053,0.2,0.017273618
41,251904,1622.0,1007,250,-339.13501120000006,2.177267551422119,0.006378361181608246,-7.588788265983264,0.23799641927083334,0.00025,0.9981673955917358,160,3.7842058539390564,0.2,0.015309255
42,258048,1622.0,1035,249,-341.22001129000006,2.1767022609710693,0.01285016572122307,-7.539406105875969,0.3236083984375,0.00025,0.9986327290534973,164,3.5515012008448443,0.2,0.025056677
43,264192,1622.0,1063,248,-341.79501134000003,2.096431255340576,0.008283978396017725,-7.601281563440959,0.3107096354166667,0.00025,0.9970995783805847,168,3.9133351296186447,0.2,0.023335487
44,270336,1622.0,1091,247,-341.8000113300001,2.3354313373565674,0.010621050886887437,-7.638940989971161,0.34912109375,0.00025,0.9982698559761047,172,3.474686330805222,0.2,0.027913531
45,276480,1622.0,1118,247,-345.7850114900001,0.37025707960128784,0.031289057922549546,-7.664140214522679,0.4417724609375,0.00025,0.9980311989784241,176,1.6772016324102879,0.2,0.048790127
46,282624,1622.0,1144,246,-429.11001513,0.5512634515762329,0.2960872493761902,-4.140977777540684,0.902099609375,0.00025,0.9989819526672363,180,1.4155670863886674,0.2,14.380821
47,288768,1622.0,1172,246,-499.03501816000005,0.5142862200737,0.008043682304560207,-2.9276781231164932,0.1873779296875,0.00025,0.9981473088264465,184,1.729021263619264,0.2,0.013795947
48,294912,1622.0,1198,245,-602.78502262,0.22415438294410706,0.015294296366240209,-2.4327612494428954,0.3539632161458333,0.00025,0.9984754323959351,188,0.819162652362138,0.2,0.016140806
49,301056,1622.0,1226,245,-673.4600257,1.0708454847335815,0.004622008045165178,-2.8095466618736586,0.1868896484375,0.00025,0.9990789294242859,192,1.4808569286639492,0.2,0.009630056
50,307200,1622.0,1249,245,-783.1650304399998,0.20558489859104156,0.010394500743132085,-2.5345843682686486,0.2652994791666667,0.00025,0.9992635846138,196,0.5951308364359041,0.2,0.02564089
51,313344,1622.0,1276,245,-855.95503358,0.2540724575519562,0.00943525865295669,-2.7354211111863456,0.2252197265625,0.00025,0.9995622634887695,200,1.7628605409214895,0.2,0.010401085
52,319488,1622.0,1302,245,-934.76503698,0.13576780259609222,0.013909855183252754,-2.5043396949768066,0.3031819661458333,0.00025,0.9996014833450317,204,1.6189301100869973,0.2,0.016717277
53,325632,1622.0,1326,245,-935.4850369899999,0.30831795930862427,0.0046568291921479,-2.785598466793696,0.155029296875,0.00025,0.9996854066848755,208,1.3124543566567202,0.2,0.00651319
54,331776,1622.0,1353,245,-933.7500368799998,0.21700210869312286,0.001775654808928569,-2.504852943122387,0.147216796875,0.00025,0.9996102452278137,212,1.2582980777757864,0.2,0.00644494
55,337920,1622.0,1382,244,-932.5500368300001,0.29324495792388916,0.006114893672929611,-2.89320141573747,0.12679036458333334,0.00025,0.9997146725654602,216,1.2173750473496814,0.2,0.0052800067
56,344064,1622.0,1412,243,-930.8150367299999,0.21824988722801208,0.0011153945136660088,-2.6669601251681647,0.07633463541666667,0.00025,0.9996493458747864,220,1.1697863478523989,0.2,0.0060040806
57,350208,1622.0,1442,242,-928.31003662,0.2512500286102295,0.0010498120245756581,-2.982830449938774,0.10835774739583333,0.00025,0.999783456325531,224,1.0927015010577936,0.2,0.010963985
58,356352,1622.0,1473,241,-926.3300365299999,0.2138439416885376,0.0016831755856401287,-2.7639844566583633,0.09431966145833333,0.00025,0.9997082352638245,228,1.0765728720774252,0.2,0.008922276
59,362496,1622.0,1499,241,-923.2550363799996,0.29551810026168823,0.0004916897062988331,-2.907843202352524,0.10367838541666667,0.00025,0.9998040199279785,232,1.035964231317242,0.2,0.010341101
60,368640,1622.0,1528,241,-918.2100361599997,0.17947641015052795,0.0013803766269120388,-2.7897744551301003,0.08931477864583333,0.00025,0.9997508525848389,236,1.0115237866217892,0.2,0.008423201
61,374784,1622.0,1556,240,-912.4650359199998,0.28255993127822876,0.0028043074538193955,-3.1202844257156053,0.1654052734375,0.00025,0.9998065233230591,240,0.9880453773463765,0.2,0.012960151
62,380928,1622.0,1583,240,-904.2650355499999,0.18762366473674774,0.002499537280527875,-2.934768959879875,0.10050455729166667,0.00025,0.9998078942298889,244,0.9793669252345959,0.2,0.006653263
63,387072,1622.0,1606,240,-896.7350352399999,0.20839673280715942,0.0028267575204760456,-3.065956244866053,0.11710611979166667,0.00025,0.9998418092727661,248,0.9423094308003783,0.2,0.008129747
64,393216,1622.0,1633,240,-883.0700346399999,0.16878369450569153,0.004741143277594044,-3.118032105267048,0.15275065104166666,0.00025,0.9998167157173157,252,0.9412356658528248,0.2,0.008713865
65,399360,1622.0,1660,240,-875.9000343399998,0.18600624799728394,0.005000584734564957,-3.1940901055932045,0.1629638671875,0.00025,0.9998853802680969,256,0.8819946722748379,0.2,0.012029685
66,405504,1622.0,1690,239,-865.0350338499999,0.22304551303386688,0.004269345631958761,-3.4003001302480698,0.15059407552083334,0.00025,0.9998393654823303,260,0.930406098254025,0.2,0.01284017
67,411648,1622.0,1720,239,-858.18503355,0.15222318470478058,0.004952162436287229,-3.2233646710713706,0.17350260416666666,0.00025,0.9998530149459839,264,0.8706885995343328,0.2,0.007772731
68,417792,1622.0,1749,238,-852.7650333199998,0.14046087861061096,0.0030040694909985177,-3.564087003469467,0.14265950520833334,0.00025,0.9998530149459839,268,0.898356854605178,0.2,0.010598474
69,423936,1622.0,1782,237,-843.8350329199999,0.12580367922782898,0.004078440406980614,-3.2673642386992774,0.19425455729166666,0.00025,0.9998641610145569,272,0.879420734786739,0.2,0.014858932
70,430080,1622.0,1815,236,-840.79503278,0.1759587675333023,0.0052484802702868665,-3.6745400577783585,0.17057291666666666,0.00025,0.9998693466186523,276,0.8930652697260181,0.2,0.01278198
71,436224,1622.0,1844,236,-831.5400323599997,0.16360025107860565,0.005397207406834544,-3.2378799617290497,0.18717447916666666,0.00025,0.9998813271522522,280,0.8063060281177362,0.2,0.0153963715
72,442368,1622.0,1872,236,-824.59503202,0.1955447494983673,0.0045363182604584535,-3.9080215071638427,0.2220458984375,0.00025,0.9998043179512024,284,0.9021193205068508,0.2,0.017296389
73,448512,1622.0,1898,236,-807.45503126,0.18120451271533966,0.004296671448779914,-3.5457895944515863,0.18212890625,0.00025,0.999798059463501,288,0.8263696609064937,0.2,0.015968611
74,454656,1622.0,1920,236,-790.88503051,0.2774285078048706,0.004177876345541638,-3.7799763282140098,0.17220052083333334,0.00025,0.9997379183769226,292,0.8969679651781917,0.2,0.018989693
75,460800,1622.0,1947,236,-770.3200295900001,0.12582166492938995,0.006422410515369847,-3.2768781358997026,0.20560709635416666,0.00025,0.9996117353439331,296,0.8799491015573343,0.2,0.018552482
76,466944,1622.0,1975,236,-758.3650290400001,0.228316068649292,0.006042779816198163,-3.6484043275316558,0.1904296875,0.00025,0.9997113943099976,300,0.9078744438787302,0.2,0.021239629
77,473088,1622.0,2006,235,-742.0200283100004,0.15629015862941742,0.004645393128157593,-3.4101091101765633,0.17708333333333334,0.00025,0.9997655749320984,304,0.7944007370000085,0.2,0.01814631
78,479232,1622.0,2039,234,-728.87502772,0.18990449607372284,0.00872380073997192,-3.8897167444229126,0.2696940104166667,0.00025,0.9997381567955017,308,0.8717133685325583,0.2,0.024169425
79,485376,1622.0,2073,234,-699.58002647,0.1500297337770462,0.00747219675637704,-3.717936431368192,0.2357177734375,0.00025,0.9996145367622375,312,0.8674938225497802,0.2,0.018516144
80,491520,1622.0,2101,233,-676.23502543,0.21476610004901886,0.012366346054477617,-4.195200862983863,0.2730305989583333,0.00025,0.999552309513092,316,0.9818441538761059,0.2,0.027018374
81,497664,1622.0,2128,233,-636.4350237600001,0.2105429321527481,0.009915007569361478,-4.026856057345867,0.2442626953125,0.00025,0.9992812871932983,320,0.9905539533744255,0.2,0.03147709
82,503808,1622.0,2153,233,-602.04502229,0.22442752122879028,0.0016189885936910287,-4.393581122159958,0.24686686197916666,0.00025,0.999035656452179,324,1.2011701663335164,0.2,0.017428203
